EmployerName,WageRank,Year,Position,uni_rank,wage_group,uni_group
"University of California, Santa Barbara",2438.0,2014,Postdoc-Employee,4.0,0.0,2.0
"University of California, Santa Cruz",2940.0,2014,Postdoc-Employee,6.0,2.0,3.0
"University of California, Berkeley",3161.0,2013,Postdoc-Employee,0.0,3.0,0.0
"University of California, Davis",3133.0,2013,Postdoc-Employee,3.0,2.0,1.0
"University of California, Irvine",2727.0,2013,Postdoc-Employee,5.0,0.0,2.0
"University of California, Los Angeles",2890.5,2013,Postdoc-Employee,1.0,1.0,0.0
"University of California, Merced",3611.0,2013,Postdoc-Employee,7.0,4.0,3.0
"University of California, Riverside",3073.0,2013,Postdoc-Employee,8.0,2.0,4.0
"University of California, San Diego",3015.0,2013,Postdoc-Employee,2.0,1.0,1.0
"University of California, Santa Barbara",2880.0,2013,Postdoc-Employee,4.0,0.0,2.0
"University of California, Santa Cruz",3154.0,2013,Postdoc-Employee,6.0,3.0,3.0
"University of California, Berkeley",194.0,2021,Asst Prof-Ay-B/E/E,1.0,1.0,0.0
"University of California, Davis",323.0,2021,Asst Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Irvine",321.5,2021,Asst Prof-Ay-B/E/E,4.0,2.0,2.0
"University of California, Los Angeles",172.5,2021,Asst Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",401.0,2021,Asst Prof-Ay-B/E/E,8.0,4.0,4.0
"University of California, Riverside",369.0,2021,Asst Prof-Ay-B/E/E,6.0,3.0,3.0
"University of California, San Diego",222.0,2021,Asst Prof-Ay-B/E/E,3.0,1.0,1.0
"University of California, Santa Barbara",191.5,2021,Asst Prof-Ay-B/E/E,2.0,0.0,1.0
"University of California, Santa Cruz",384.0,2021,Asst Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, Berkeley",176.0,2020,Asst Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Davis",322.5,2020,Asst Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Irvine",344.0,2020,Asst Prof-Ay-B/E/E,3.0,2.0,1.0
